,Title,Label
436,Translator/ Interpreter,Sales Agent
437,Marketing Training Program and Internship Opportunity,Marketing Specialist
439,Procurement Officer,Office Manager
441,Translator-Interpreter,Translator
442,Administrator-Coordinator,Information Officer
443,IATP Program Associate,Raw
444,Executive Secretary,Director
445,Logistics Executive,Raw
448,Health Coordinator,Health Manager
449,Global Fund ATM Implementation Unit Officer,Project Manager/ Assistant
453,Marketing Specialist,Marketing Specialist
454,Marketing Research Assistant Intern,Analyst
455,Program Manager,Raw
457,System administrator,Software Developer
458,Customer Support Representative,Customs Specialist
459,News Content Manager,Software Developer
460,Trade Show Coordinator,Sales Manager
462,Finance Assistant,Assistant
463,IATP Gyumri Trainer,Training Specialist
465,IT Capacity Building Assistant,Software Developer
467,JSP/Java Developer for Lycos Mail,Call Center Specialist
468,Java/C++ Developer for Lycos Mail,Call Center Specialist
471,Java/C++ Developer for Lycos Communities,Raw
472,JSP/Java Developer for Lycos Chat,Raw
474,Veterinarian,Raw
476,Software Developer,Software Developer
484,Receptionist/ Admin Assistant,Receptionist
485,Marketing Manager,Marketing Specialist
486,Logistics Specialist,Raw
487,Training Coordinator /Assistant Project Manager,Project Manager/ Assistant
488,Agriculture Coordinator,Raw
489,Community Development Coordinator,Software Developer
490,Employment Agency Coordinator,Software Developer
491,Secretary Referent,Translator
492,Administrative Assistant,Finance Specialist
493,Food & Beverage Supervisor,Raw
496,Web Developer,Raw
503,Tavush Area Development Program (ADP) manager,Project Manager/ Assistant
504,Sisian Area Development Program (ADP) Site Coordinator,Project Manager/ Assistant
506,Global Fund Officer (Re-announcement),Project Manager/ Assistant
509,Public Outreach Coordinator,Project Manager/ Assistant
510,JSP/Java Developer for Lycos Billing Platform,Raw
511,QA engineer at Lycos Test Center,Test Engineer
512,Project Assistant,Project Manager/ Assistant
513,Java or C++ backend developer for Lycos Communities,Raw
514,Software Engineer / Senior Software Engineer,Engineer
515,Senior QA engineer at Lycos Test Center,Test Engineer
516,Advanced Java Developer for Lycos Communities,Raw
517,Advanced Java Developer for Lycos Billing Platform,Software Developer
518,Office Manager,Office Manager
519,Staff Accountant,Accountant
520,IT Specialist - System Admin.,Raw
529,Economic Policy Advisor,Translator
530,Executive Director,Finance Specialist
532,Accountant,Accountant
533,Health Counsellor,Lawyer
536,Local Economic Expert,Finance Specialist
537,Secretary/Administrative Assistant,Assistant
541,Community Component Coordinator,Raw
546,4 Managers,Raw
550,Program Assistant/Office Manager,Social Worker
556,Java Programmer,Programmer
557,PR Manager,Office Manager
559,Accountant,Accountant
560,Project Manager,Project Manager/ Assistant
566,Java Developer,Java Developer
567,Volunteer,Social Worker
568,Program Coordinator,Software Developer
570,Field Office Director,Raw
571,Professional Development and Training Specialist,Raw
572,"Senior Programme Advisor, Sex Work Issues",Raw
573,Research Specialist,Raw
575,Marketing and Sales Manager,Sales Manager
578,Project Coordinator,Project Manager/ Assistant
579,Web Developer,Software Developer
581,Senior Advisor Private Sector Development,Raw
582,Chief of Party,Raw
583,(Chief) Accountant,Accountant
591,QA Engineer with Linux skills,Test Engineer
594,Project Officer/ Community Mobilizer,Raw
596,Website Moderator Assistant,Raw
597,Product Manager,Software Developer
599,Recruitment Assistant,Assistant
601,Media Advocacy Coordinator,Media Specialist
602,Senior Program Associate / HIV/AIDS,Raw
603,Information Officer,Information Officer
606,International Carrier Operations Manager,Operations Manager
611,Sales Assistant,Assistant
612,Administrative Assistant,Assistant
615,Mid-Term Evaluation Consultant,Raw
616,Short-Term Health Care Research Associate,Raw
617,IT Manager,Raw
618,Management Consultant,Raw
619,Operations manager in Financial control department,Controller
621,Windows C++/C# Software Developers,C/ C++ Developer
623,Linux Administrator/ Developer,Engineer
630,Progam Associate (Consultant),Project Manager/ Assistant
632,Administrative Assistant/ Receptionist,Receptionist
634,Web Designer,Web Developer/ Designer
636,Web Programmer,Web Developer/ Designer
638,Personal Assistant to the Executive Director,Director
639,Software Engineers,Engineer
640,"Engineer, Quality Assurance Department",Engineer
642,"Junior Engineer, Web Systems Department",Web Developer/ Designer
643,"Manager, Quality Assurance Department",Raw
644,"Engineer, Configuration Management Department",Engineer
648,Junior QA Engineer at Lycos Test Center,Test Engineer
649,C++  Developer,Raw
650,PHP Developer for Lycos Hosting,Software Developer
655,CAD Support Engineer (Support Engineer I),Software Developer
658,English Language Instructor,Raw
662,Sales and Marketing Manager,Sales Manager
664,Intern for the Legal Advisory Services Department,Raw
667,Website Content Manager,Web Developer/ Designer
672,Zonal  Clinical Coordinator,Medical Representative
673,Programmer,Programmer
676,Data Managers,Data Analyst
683,Finance and Administration Director,Director
685,Web-Designer,Raw
688,Handyman,Raw
695,"Assistant to the CCM Secretariat, ICS4/G4*",Assistant
697,Chief Financial Officer,Raw
701,Procurement and Administrative Manager,Manager
702,Deputy Finance Director,Raw
703,Training/Information Officers,Manager
704,Events Coordinator,Raw
708,Micro Lending Trainer,Credit Officer
709,"Assistant Trainer (Linux, Networking)",Unix Administrator
711,Quality Management Officer,Office Manager
712,Information Officer,Information Officer
713,Self Access Manager,Raw
716,Secretary/ Receptionist,Receptionist
717,Senior Ad Developer,Software Developer
718,Construction Engineer,Project Manager/ Assistant
719,Customer Care Manager,Customs Specialist
720,Ad Developer,Software Developer
721,Customer Care Co-ordinator,Engineer
722,Senior Customer Care Manager,Customs Specialist
726,Assistant Representative (ICS10/NO-C),Assistant
727,Logistics Assistant (ICS5/GS5),Assistant
728,National Programme Officer (ICS9/NOB),Raw
730,"Engineer, IT & CM Department",Engineer
733,Project Coordinator,Project Manager/ Assistant
734,Project Coordinator,Raw
735,"Senior Program Manager (exact title TBD), Public Works Program",Project Manager/ Assistant
737,Static and Patrol Security Officers,Raw
739,Micro-Biologist,Brand Manager
740,Developer for Customer Support Application,Raw
741,Administrators for Customer Support Application,Raw
748,Office Manager,Office Manager
751,Administrative Assistant,Assistant
752,Developer/Administrator for Customer Support Application,Raw
753,Mobile Eye Hospital (MEH) Assistant,Raw
754,Director of Medical Education & Training,Medical Representative
755,Sales Room Managers,Sales Manager
756,Projects Director,Project Manager/ Assistant
763,Ad Developer  ID No. 2,Software Developer
765,Ad Developer ID No. 1,Software Developer
767,Java Senior Developer / Architect,Java Developer
768,C++ Senior Developer,Software Developer
769,C#.NET Senior Developer / Architect,Software Developer
770,Java Developer,Java Developer
771,Sr. RF Design Engineer,Engineer
774,Computer Modeling and 3D Graphic,Engineer
777,Chief Engineer,Raw
778,Finance and Administrative Director,Raw
779,Procurement Director,Raw
780,Program Director,Director
787,Deputy Director,Director
789,Marketing/ Sales Manager,Manager
790,Preseller-merchendiser,Brand Manager
797,"Senior Software Engineer, DB Core group",Software Engineer
798,Administrative Assistant,Assistant
799,Technician/ Electronic Hardware Specialist,Raw
800,Staff Engineer,Project Manager/ Assistant
801,Program Expert. Loan Guaranties program,Project Manager/ Assistant
802,Performance Monitoring and Evaluation Specialist,Controller
803,Grants Manager,Project Manager/ Assistant
804,Communications Manager,PR Specialist
813,Pharmacy Sales Person,Sales Manager
814,Project Manager,Project Manager/ Assistant
816,Project  Assistant,Assistant
817,Training Specialist and Coordinator,Training Specialist
825,Human Resources Representative/ Technical Recruiter,Software Developer
826,Interview Committee Members,Auditor
828,Internal Audit,Raw
830,Office Assistant,Translator
833,IT Services Provider,Raw
834,Senior Software Engineer,Engineer
835,Technical System Documenter,Systems Administrator
836,Flash Action Scripting Programmer,Software Developer
837,Cartoon Artist,Engineer
838,Mathematician System Analyzer,Engineer
839,Photoshop Graphics Web Designer,Graphic Designer
840,"Engineer, Configuration Management Department",Engineer
841,Developer/ Administrator for Customer Support Application,Raw
843,Graphic Designer,Graphic Designer
845,Product Manager,Brand Manager
847,Finance Manager,Finance Specialist
849,Salesman,Sales Agent
850,Software Development Team Leader,Engineer
851,Electrical Engineer,Network Engineer
853,Accountant,Accountant
854,Telecommunications Engineer,Network Engineer
857,Sales Manager,Sales Manager
858,Cluster Coordinator,Project Manager/ Assistant
859,Business Development Specialist,Raw
860,Chief Accountant,Accountant
861,Management Consultant,Raw
862,Legal Advisory Services Consultant,Lawyer
863,Grants Manager,Project Manager/ Assistant
864,Marketing Manager,Marketing Specialist
865,Workforce Development Specialist,Raw
866,Business Association Specialist,Raw
867,Market and Marketing Specialist,Marketing Specialist
868,Office Manager,Office Manager
869,Mechanic,Raw
870,Tourism Cluster Specialist,Transport Manager
871,Gems and Jewellery Cluster Specialist,Specialist
872,Precision Engineering Cluster Specialist,Engineer
873,Agroprocessing Cluster Specialist,Specialist
874,IT Cluster Specialist,Specialist
875,Accountant,Accountant
880,Sales & Marketing Manager,Sales Manager
882,Office Manager,Office Manager
888,Programmer,Programmer
889,Armenian-Russian LanguageTranslator/ Interpreter,Translator
890,Armenian-English LanguageTranslator/ Interpreter,Translator
894,Health Systems Analyst,Analyst
895,French-Russian-Armenian Language Translator/ Interpreter,Translator
896,English-Russian-Armenian Language Translator/ Interpreter,Translator
897,Livelihoods Programme Officer,Finance Specialist
906,Administrative Secretary/ Receptionist,Raw
909,"Senior Software Engineer, Physical Design Department",Software Engineer
910,Microbiologist,Raw
911,"Software Engineer, Physical Design Department",Architect
912,Loan Spesialist,Loan Specialist
916,Auditor,Accountant
917,Lawyer,Lawyer
920,Team Assistant to the External Affairs Officer,Auditor
922,Telecommunications Installation Engineer,Network Engineer
923,Electrical Engineer,Engineer
924,Telecommunications Engineer,Network Engineer
926,Chief Accountant,Accountant
927,Food & Beverage Supervisor,Raw
928,Human Resources Manager,Raw
930,Secretary,Raw
938,Mathematician System Analyzer,Engineer
942,Trade Agents,Sales Agent
944,Mobile Medical Team Officers,Medical Representative
945,Senior Customer Care Manager,Customs Specialist
946,PHP Developer for Lycos Hosting,Software Developer
950,Project Manager/Co-ordinator,Project Manager/ Assistant
955,Quality Assurance Assistant,Assistant
957,Developer Ad Technology ID No. 1,Raw
958,Ad Developer ID No. 3,Raw
959,Developer Ad Technology ID No. 2,Raw
960,Senior Developer Ad Technology,Raw
965,English - Armenian Language Translator/ Interpreter,Translator
967,C++/ C# Senior Developer,C/ C++ Developer
968,Technical Recruiter,Software Developer
970,Designer/ Architect,Architect
971,Executive Director,Director
972,Public Policy Specialist,Raw
973,Printing/Publishing Assessment Consultant,Consultant
974,Program Assistant,Assistant
975,Administrative Assistant,Assistant
985,General Practitioner,Raw
987,English Language Instructor,Raw
988,Accountant,Accountant
990,Logistics Assistant (ICS5/GS5),Raw
991,Administrative Assistant,Assistant
992,Designer/ Engineer,Graphic Designer
994,Accountant,Accountant
996,Administrative Assistant,Assistant
998,Accountant,Accountant
999,Local Representative,Raw
1000,Receptionist/ Admin Assistant,Receptionist
1003,Client Manager/ Accountant,Teller
1007,Programmer,Raw
1014,Native English Language Instructor,Raw
1017,Livelihoods Programme Officer,Programmer
1018,C#.NET Senior Developer/ Architect,Software Developer
1022,Advocate,Raw
1032,Credit Services Manager,Raw
1033,Agribusiness Services Manager,Raw
1034,Rural Development Manager,Health Manager
1035,Program Manager,Project Manager/ Assistant
1036,Chief Engineer,Engineer
1037,Head Specialist/ Lawyer,Lawyer
1038,Web Systems Group Engineer,Web Developer/ Designer
1039,Procurement Specialist,Raw
1042,Tour Manager,Raw
1043,Consultant on mathematics and financial statistics,Raw
1045,Chief Marketing Specialist,Marketing Specialist
1052,Graphic Designer,Graphic Designer
1053,Sound Designer,Graphic Designer
1057,Finance Treasury Associate,Raw
1058,Head of FInance Unit/ Finance Analyst,Unit Manager
1059,Finance Assistant,Assistant
1060,Finance Associate,Finance Specialist
1062,Software Engineers,Raw
1063,Web Master,Web Developer/ Designer
1065,Senior Web Developer,Web Developer/ Designer
1066,Web Designer,Web Developer/ Designer
1067,Area Sales Manager,Sales Manager
1074,Secretary,Raw
1077,Analyst,Analyst
1078,Methodologist,Analyst
1079,Database Manager,Branch Manager
1080,Responsible for International Relations and Trainings,Training Specialist
1083,Portfolio Coordinator on Socio-Economic Governance,Marketing Specialist
1084,Front Desk Clerk/ Administrator,Receptionist
1085,Salesman,Sales Agent
1086,Engineer,Engineer
1087,Software Engineer,Engineer
1088,National Expert,Project Manager/ Assistant
1091,Dispatcher,Raw
1092,Administrative Services Manager,Finance Specialist
1093,Finance Manager,Raw
1096,Communications and Development Coordinator,Communication Specialist
1097,Office Assistant,Raw
1099,Receptionist,Receptionist
1101,Administrative Assistant,Assistant
1102,Armenia Country Director,Director
1103,Salesperson,Sales Agent
1108,Marketing Manager,Marketing Specialist
1110,Program Coordinator,Project Manager/ Assistant
1112,Programme Management Specialist,Raw
1113,Funding Manager,Finance Specialist
1114,Office Manager,Raw
1115,Sales and Office Manager,Sales Manager
1116,Sales Assistant in accounting,Accountant
1119,Atlas Associate,Raw
1121,Head Engineer -Mechanic of food (canning) industry,Engineer
1122,Manager  (Head) of  food production,Brand Manager
1124,Accountant,Accountant
1126,Auditor,Auditor
1128,Project Manager SEO,Project Manager/ Assistant
1129,Developer Ad Technology,Engineer
1143,Translator/Technical Assistant,Assistant
1144,Systems Administrator,Systems Administrator
1145,Graphic Designer,Graphic Designer
1149,Community Health Education Technical Coordinator for Pre-Service,Technical Support
1151,Community and Business Development Technical Coordinator for,Technical Support
1153,Environmental Education Technical Coordinator for Pre-Service,Technical Support
1154,TEFL Technical Coordinator for Pre-Service Training,Technical Support
1155,Network Administrator,Network Administrator
1156,System Administrator,Software Developer
1158,Sales and Marketing Manager,Marketing Specialist
1159,Tour Guide,Tour Manager
1165,Senior .NET Developer,Software Developer
1168,Hardware & Systems Experts,Raw
1169,Secretary,Translator
1172,Marketing Manager,Marketing Specialist
1173,Product Manager,Brand Manager
1175,Receptionist,Receptionist
1177,National Expert on Vulnerability Assessment Methodology,Raw
1179,Translator/Interpreter,Translator
1181,National Expert on Study of Vulnerability in Armenia,Raw
1186,Senior Quality Assurance Engineer,Software Developer
1190,Quality Assurance Engineer,Software Developer
1193,Assistant to the Controller of Finance and Administration (CFA),Finance Specialist
1195,Capital Logistician,Medical Representative
1196,Capital Secretary/Translator,Raw
1198,Resource Director,Engineer
1199,Part Time Accountant,Director
1200,Automated Test Engineer,Engineer
1201,Pharmacist,Receptionist
1205,Proactive Sales Manager,Sales Manager
1212,Local Information Officer,Information Officer
1213,Delphi Programmer,Project Manager/ Assistant
1215,Manager,Manager
1225,Senior Developer(s)/ Software Engineers,Engineer
1226,QA engineer at Lycos Test Center,Engineer
1230,Receptionist,Medical Representative
1234,Programmes Coordinator,Programmer
1235,Water Programme Manager,Programmer
1236,Assistant to the Executive Director,Raw
1237,Information Programme Assistant,Information Officer
1238,IT Specialist/ System Administrator,Systems Administrator
1239,Environmental Education (EE) Technical Coordinator,Technical Support
1240,Community & Business Development (CBD)Technical Coordinator,Technical Support
1244,Administrative Assistant,Assistant
1245,Senior or Intermediate Software Engineer,Engineer
1246,Livelihoods Programme Officer,Programmer
1248,Software Development Manager,Software Developer
1249,Program Assistant,Assistant
1252,Fleet Maintenance Supervisor,Operations Manager
1268,Operations Manager,Raw
1269,Receptionist,Raw
1273,Project Manager,Project Manager/ Assistant
1275,Finance Assistant,Finance Specialist
1276,Customer Service Agent,Raw
1277,Marketing and PR Manager,PR Specialist
1278,Resource/ Software Development Director,Software Developer
1279,Food and Beverage Supervisor,Raw
1280,Receptionist,Receptionist
1281,Landmine Public Awareness Specialist,Raw
1284,Data Analyst,Data Analyst
1285,Software Developer 3,Software Developer
1288,Project Manager,Project Manager/ Assistant
1290,Administrative Secretary,Finance Specialist
1291,QA Engineer,Engineer
1292,Program Development Officer,Software Developer
1299,Medical Representative,Medical Representative
1300,Information Manager,Information Officer
1301,Senior Java Tester,Raw
1303,Senior J2EE Core Developer,Raw
1307,Network Systems Engineer,Network Administrator
1308,Customer Support Representative,Customs Specialist
1309,Manager of Foreign Relations Department,Department Head
1312,Swatch Brand Manager,Brand Manager
1314,Monitoring and Evaluation Officer,Controller
1316,Assistant Project Officer - Education-NOB,Office Manager
1318,Irrigation and Water Management Specialist,Social Worker
1319,Rural Development Specialist,Health Manager
1320,Public Relations Coordinator,Raw
1321,Gender and Youth Programs Specialist,Raw
1324,Controller,Raw
1325,Flash Action Scripting Programmer/ HTML Coder,Software Developer
1327,Senior Lending Officer,Raw
1329,Mobile Medical Team Officer,Medical Representative
1332,MSF Cabinet Secretary/ Translator,Brand Manager
1335,Local Consultant on International experience in Science,Raw
1337,Research Analysts,Analyst
1339,Air Tickets Seller,Sales Agent
1340,Store-Chain Manager/ Executive Director,Director
1343,Program Manager Assistant,Assistant
1345,Receptionist/ Secretary,Receptionist
1346,Procurement Specialist,Raw
1347,"Computer, Network and Communication Specialist",Network Administrator
1348,Logistics and Warehouse Coordinator,Raw
1349,Sales Manager,Sales Manager
1350,Dean of Law Department,Department Head
1351,Administrative Officer,Office Manager
1352,Accountant,Accountant
1354,Project Manager and Adviser on Internal Political Issues,Raw
1356,Driver,Receptionist
1359,Senior Developer,Software Developer
1362,"Project Assistant, GS-4",Project Manager/ Assistant
1364,"Project Driver, GS-2",Project Manager/ Assistant
1365,Receptionist/ Admin Assistant,Director
1367,Finance Assistant,Raw
1369,C/C++ Software Developer,Java Developer
1370,Accountant,Accountant
1372,Driver,Raw
1373,Senior Driver,Driver
1385,Software Engineer,Engineer
1388,Project Director/ Country Representative  Armenia,Raw
1391,Head of Media Unit,Media Specialist
1392,Rural Development Program Officer,Software Developer
1394,Quality Assurance and Sanitation Specialist,Marketing Specialist
1395,Senior Marketing Specialist,Marketing Specialist
1396,Market Development and Research Specialist,Marketing Specialist
1398,Java/PHP Developer,Web Developer/ Designer
1399,Office Manager,Office Manager
1400,"Project Assistant, Education and Young People's Health and",Project Manager/ Assistant
1401,Customer Service Operator,Customs Specialist
1405,Procurement/ Logistics Officer,Office Manager
1411,Broker,Raw
1412,Model for photo shots,Engineer
1415,System Administrator/ Software Engineer,Systems Administrator
1416,Developer (m/f) ID No. 4,C/ C++ Developer
1420,Flash Action Scripting Programmer,Engineer
1421,Brand Manager,Brand Manager
1423,Customer Care Coordinator,Customs Specialist
1425,Information Technologies Manager,Translator
1426,Personal Assistant,Translator
1439,Commercial Director,Director
1440,Credit Club Program Specialist (2 positions),Credit Officer
1441,Network Administrator,Network Administrator
1442,Credit Specialist (2 position),Credit Officer
1445,Principal Specialist,Specialist
1451,Database Administrator,Raw
1453,Project Associate,Project Manager/ Assistant
1456,Chemist,Engineer
1457,Salesperson,Receptionist
1460,Human Resource/ Accountant Officer,Raw
1461,Senior Accountant,Accountant
1462,Commercial Law Specialist,Raw
1463,Administrative Intern,Raw
1464,Java Professionals,Java Developer
1465,Deputy Chief of Party,Accountant
1469,Leading Specialist - Planning and Analyses Division,Project Manager/ Assistant
1470,Business Advisor  Non-Farm Rural Enterprises,Director
1471,Business Advisor/ Dried Food Specialist,Raw
1473,Head Doctor,Medical Representative
